,Precio,Combustible,Anyo,Kilometros,Potencia,Vendedor_profesional,Comunidad_Autonoma,Cluster_Marca,Cluster_Modelo
264,16800,Gasolina,2018.0,26376,115.0,True,Andalucía,Standard,suv_grande
265,7400,Diésel,2016.0,126320,75.0,True,Andalucía,Standard,compacto_pequeno
266,18390,Gasolina,2018.0,0,95.0,True,Catalunya,Low_Cost,compacto_pequeno
267,18900,Diésel,2017.0,75377,150.0,True,Andalucía,Standard,suv_grande
268,2000,Gasolina,2004.0,96000,75.0,False,Catalunya,Standard,compacto_pequeno
269,4699,Diésel,2007.0,352000,122.0,False,Comunidad_de_Madrid,Premium,compacto_pequeno
270,11000,Gasolina,2008.0,220000,184.0,False,Andalucía,Premium,sedan_pequeno
271,6999,Diésel,2017.0,127530,75.0,True,Comunidad_de_Madrid,Low_Cost,compacto_pequeno
273,4500,Diésel,2004.0,245000,82.0,False,Catalunya,Standard,otro
274,7900,Gasolina,2017.0,78580,69.0,True,Catalunya,Low_Cost,suv_pequeno
275,3900,Diésel,2006.0,260000,105.0,False,Navarra,Standard,compacto_grande
276,1750,Diésel,2006.0,258069,116.09283819628648,False,Comunidad_de_Madrid,Low_Cost,compacto_grande
278,4900,Diésel,2007.0,186000,121.5489566613162,False,Catalunya,Mid_Premium,compacto_grande
279,17450,Diésel,2018.0,35000,115.0,True,Andalucía,Mid_Premium,compacto_grande
280,8900,Diésel,2008.0,161608,174.0,False,Andalucía,Mid_Premium,otro
281,7950,Diésel,2012.0,82400,110.0,True,Comunidad_de_Madrid,Low_Cost,compacto_grande
282,5100,Diésel,2007.0,165000,136.0,False,Comunidad_de_Madrid,Standard,otro
284,11750,Gasolina,2018.0,25583,125.0,True,Comunidad_de_Madrid,Standard,compacto_grande
285,17990,Diésel,2017.0,16700,150.0,True,Castilla_y_León,Desconocido,sedan_grande
286,4290,Gasolina,2008.0,142000,143.0,True,Catalunya,Standard,sedan_pequeno
287,19500,Gasolina,2019.0,0,125.0,True,Comunidad_Valenciana,Standard,suv_pequeno
289,1200,Diésel,2001.0,300000,128.46183953033267,False,Andalucía,Premium,compacto_grande
290,2690,Gasolina,2001.0,99000,150.0,True,Catalunya,Premium,sedan_grande
291,3890,Gasolina,2000.0,142000,193.0,False,Comunidad_de_Madrid,Premium,coupe_grande
293,14730,Gasolina,2021.0,0,83.0,True,Castilla_y_León,Standard,otro
294,9999,Diésel,2015.0,109000,140.0,True,Andalucía,Low_Cost,sedan_grande
295,19990,Gasolina,2020.0,0,125.0,True,Comunidad_de_Madrid,Standard,otro
297,1000,Diésel,2004.0,334000,108.4,False,Andalucía,Standard,sedan_grande
298,21800,Gasolina,2020.0,0,120.0,True,Comunidad_Valenciana,Standard,suv_pequeno
299,1500,Diésel,2004.0,170000,60.0,False,Catalunya,Standard,otro
300,4950,Diésel,2007.0,262000,120.0,True,Catalunya,Low_Cost,sedan_grande
301,12900,Gasolina,2014.0,154000,122.0,True,Galicia,Mid_Premium,compacto_grande
302,23500,Diésel,2016.0,57205,150.0,True,Comunidad_de_Madrid,Mid_Premium,sedan_grande
303,3800,Gasolina,2004.0,196000,115.0,False,Catalunya,Mid_Premium,compacto_pequeno
305,990,Diésel,2005.0,371000,120.0,False,Galicia,Low_Cost,compacto_grande
306,21490,Diésel,2018.0,137166,130.0,True,Galicia,Standard,suv_grande
307,1500,Gasolina,2009.0,120009,69.4,False,Andalucía,Standard,compacto_pequeno
308,8499,Diésel,2015.0,116135,99.0,True,Andalucía,Standard,compacto_pequeno
309,25900,Diésel,2017.0,114440,190.0,True,Castilla_y_León,Premium,sedan_grande
310,7500,Diésel,2010.0,149266,127.67582417582418,False,Castilla_La_Mancha,Standard,suv_grande
311,11290,Gasolina,2016.0,52840,69.0,True,País_Vasco,Mid_Premium,compacto_pequeno
